Guid,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,Website,Industry,AnnualRevenue,NumberOfEmployees,Description,Jigsaw,AccountSource,SicDesc,SBQQ__AssetQuantitiesCombined__c,SBQQ__CoTermedContractsCombined__c,SBQQ__ContractCoTermination__c,SBQQ__DefaultOpportunity__c,SBQQ__IgnoreParentContractedPrices__c,SBQQ__PreserveBundle__c,SBQQ__PriceHoldEnd__c,SBQQ__RenewalModel__c,SBQQ__RenewalPricingMethod__c,SBQQ__TaxExempt__c,SBQQ__CoTerminationEvent__c,test_picklist_780__c,TestPVS__c
002a4faa-53f4-4dc4-b9bf-feb479eb2e7f,Account_RIuZe,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9603203969,#N/A,skqib.salesforce.com,Banking,#N/A,919,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
003f1465-38d9-48b9-95a9-e56a34531be3,Global Media,Prospect,#N/A,150 Chestnut Street,Toronto,Ontario,L4B 1Y3,Canada,#N/A,#N/A,#N/A,150 Chestnut Street,Toronto,Ontario,L4B 1Y3,Canada,#N/A,#N/A,#N/A,(905) 555-1212,#N/A,#N/A,Media,#N/A,14668,"GBM is the worldwide leader in technology news and information on the Web and the producer of the longest-running and farthest-reaching television shows about technology. GBM's network of sites combines breakthrough interactive technology with engaging content and design and is consistently ranked as the Internet's leading content network in terms of both audience size and revenue, serving millions of users each day. The company's television programming is broadcast by the USA Network and the Sci-Fi Channel to more than 70 million households and is syndicated to broadcast television stations in the nation's top 120 markets, including the top 10 markets.",#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
003f846f-5441-4892-8324-03e233a16ab4,Account_RIuZe,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9603203969,#N/A,skqib.salesforce.com,Banking,#N/A,919,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
00600ec8-73d9-4c83-b20c-29c9eac6e6cd,Account_IRMfg,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6642626764,#N/A,yakot.salesforce.com,Banking,#N/A,530,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
00659179-bd74-4b2e-b585-1fee6937c17d,Account_xnfGV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8207909048,#N/A,iwpfv.salesforce.com,Banking,#N/A,439,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
006ff4b8-69f6-497b-b55d-8a68246ae4eb,Account_EdYqX,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4283404724,#N/A,baomj.salesforce.com,Banking,#N/A,633,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
00a90c1a-e6ff-473b-8aa2-8afd52570dd8,Account_BKHoS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7847040908,#N/A,inmke.salesforce.com,Banking,#N/A,820,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
00baca38-e56b-45b4-bb99-27b435170db3,Account_AindK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3125547403,#N/A,axcuf.salesforce.com,Banking,#N/A,388,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
00d758ff-ab3b-438b-852b-6a3ec08b43ce,Account_WRNab,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4880040233,#N/A,cfcfi.salesforce.com,Banking,#N/A,944,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
00e01615-719d-4c8d-844a-9c4d92a28a94,Account_gHuEL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6871120999,#N/A,dxdfo.salesforce.com,Banking,#N/A,701,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
00e1d6e9-aa76-4fbd-8b63-a4f2486e76d1,Account_KTbVj,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2239985959,#N/A,qzhpq.salesforce.com,Banking,#N/A,239,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
